产品ID,设备名称,原图片ID,原文件名,单元格引用,保存文件名,文件路径,文件大小,映射类型,置信度
1,一键,ID_9AD62D4C816641E38DA3764A7C77A303,image34.png,L2,pdid1_yijian.png,E:\Programs\smarthome2\images\pdid1_yijian.png,14116,dispimg_formula,1.0
2,二键,ID_9AD24783AB944452B5F2FB78CC0C88E2,image35.png,L3,pdid2_erjian.png,E:\Programs\smarthome2\images\pdid2_erjian.png,15365,dispimg_formula,1.0
3,三键,ID_CAA31EBF44AE40AE9656E08921F1D20A,image37.png,L4,pdid3_sanjian.png,E:\Programs\smarthome2\images\pdid3_sanjian.png,17993,dispimg_formula,1.0
4,四键,ID_8FBBC428F32341E2AF5B694A4958F60C,image36.png,L5,pdid4_sijian.png,E:\Programs\smarthome2\images\pdid4_sijian.png,20606,dispimg_formula,1.0
1,一键,ID_9AD62D4C816641E38DA3764A7C77A303,image34.png,L2,pdid5_yijian.png,E:\Programs\smarthome2\images\pdid5_yijian.png,14116,dispimg_formula,1.0
2,二键,ID_9AD24783AB944452B5F2FB78CC0C88E2,image35.png,L3,pdid6_erjian.png,E:\Programs\smarthome2\images\pdid6_erjian.png,15365,dispimg_formula,1.0
3,三键,ID_CAA31EBF44AE40AE9656E08921F1D20A,image37.png,L4,pdid7_sanjian.png,E:\Programs\smarthome2\images\pdid7_sanjian.png,17993,dispimg_formula,1.0
4,四键,ID_8FBBC428F32341E2AF5B694A4958F60C,image36.png,L5,pdid8_sijian.png,E:\Programs\smarthome2\images\pdid8_sijian.png,20606,dispimg_formula,1.0
9,一键,ID_721F762393644527B43E6CC209272836,image11.png,L10,pdid9_yijian.png,E:\Programs\smarthome2\images\pdid9_yijian.png,6221,dispimg_formula,1.0
10,二键,ID_BEE37C07ADCE4FC189F6BF7B203D7770,image12.png,L11,pdid10_erjian.png,E:\Programs\smarthome2\images\pdid10_erjian.png,7474,dispimg_formula,1.0
11,三键,ID_47E1F5BF073C43DA91A0B766933C7A56,image13.png,L12,pdid11_sanjian.png,E:\Programs\smarthome2\images\pdid11_sanjian.png,7850,dispimg_formula,1.0
12,四键,ID_54D0A7FBED2E4888AE0BF8B47C6BBCDD,image14.png,L13,pdid12_sijian.png,E:\Programs\smarthome2\images\pdid12_sijian.png,6109,dispimg_formula,1.0
13,中控屏,ID_A640EF54013D49169E8E3C6C53CC67BD,image10.png,L14,pdid13_zhongkongping.png,E:\Programs\smarthome2\images\pdid13_zhongkongping.png,71930,dispimg_formula,1.0
14,智能屏,ID_48AC8127AABF4C4699F36F366907D1F3,image27.png,L15,pdid14_zhinengping.png,E:\Programs\smarthome2\images\pdid14_zhinengping.png,174538,dispimg_formula,1.0
15,人在传感器（顶装版）,ID_698BFE1E18064BFFBD0408AEF61D5109,image9.png,L16,pdid15_renzaichuanganqidingzhuangban.png,E:\Programs\smarthome2\images\pdid15_renzaichuanganqidingzhuangban.png,73021,dispimg_formula,1.0
16,人在传感器（墙壁版）,ID_13049675B04F4DCE838228B79796F570,image28.png,L17,pdid16_renzaichuanganqiqiangbiban.png,E:\Programs\smarthome2\images\pdid16_renzaichuanganqiqiangbiban.png,93513,dispimg_formula,1.0
17,人在传感器（粘贴版）,ID_969F524A4EB446DF86DB6B968F608B22,image29.png,L18,pdid17_renzaichuanganqizhantieban.png,E:\Programs\smarthome2\images\pdid17_renzaichuanganqizhantieban.png,130626,dispimg_formula,1.0
18,智能窗帘,ID_ED5F2722B00141A0A1F919C1E007CD9A,image8.png,L19,pdid18_zhinengchuanglian.png,E:\Programs\smarthome2\images\pdid18_zhinengchuanglian.png,94682,dispimg_formula,1.0
19,智能筒射灯,ID_A96F291E27474ECCAEEC1ECFFA2DFBFB,image7.png,L20,pdid19_zhinengtongshedeng.png,E:\Programs\smarthome2\images\pdid19_zhinengtongshedeng.png,216286,dispimg_formula,1.0
20,智能灯带,ID_8DE424D26473406E96E40B31630846FC,image39.png,L21,pdid20_zhinengdengdai.png,E:\Programs\smarthome2\images\pdid20_zhinengdengdai.png,130912,dispimg_formula,1.0
21,智能灯带变压器,ID_8D8309A14E624FD68B95F4E381B28A67,image38.jpeg,L22,pdid21_zhinengdengdaibianyaqi.png,E:\Programs\smarthome2\images\pdid21_zhinengdengdaibianyaqi.png,210840,dispimg_formula,1.0
22,ac,ID_D454407525884506B2861FA08F811BF3,image23.png,L23,pdid22_ac.png,E:\Programs\smarthome2\images\pdid22_ac.png,209910,dispimg_formula,1.0
23,墙壁ap,ID_0FE5DB6B4001408C9278EB92DC58E469,image24.png,L24,pdid23_qiangbiap.png,E:\Programs\smarthome2\images\pdid23_qiangbiap.png,32091,dispimg_formula,1.0
24,吸顶ap,ID_A5B7D7A8B40247A5BA3DAF7555B9B873,image16.png,L25,pdid24_xidingap.png,E:\Programs\smarthome2\images\pdid24_xidingap.png,142627,dispimg_formula,1.0
25,户外ap,ID_25249EADFB404B8589D4F92A14618442,image15.png,L26,pdid25_huwaiap.png,E:\Programs\smarthome2\images\pdid25_huwaiap.png,43291,dispimg_formula,1.0
26,ac,ID_DE23C97518D84EDC9EBA8E8899AE9864,image6.png,L27,pdid26_ac.png,E:\Programs\smarthome2\images\pdid26_ac.png,305559,dispimg_formula,1.0
27,墙壁ap,ID_019EC07EDB8B420A8CB8BF376BF96A8E,image26.png,L28,pdid27_qiangbiap.png,E:\Programs\smarthome2\images\pdid27_qiangbiap.png,4334,dispimg_formula,1.0
28,吸顶ap,ID_F0FBD321AF594D2786268759A9CF5BD7,image25.png,L29,pdid28_xidingap.png,E:\Programs\smarthome2\images\pdid28_xidingap.png,74202,dispimg_formula,1.0
29,主路由,ID_9E669FDBC4504C2DA1091F7BC323117F,image19.png,L30,pdid29_zhuluyou.png,E:\Programs\smarthome2\images\pdid29_zhuluyou.png,69742,dispimg_formula,1.0
30,主路由,ID_9191C9765820485580DC412C66C903B6,image20.png,L31,pdid30_zhuluyou.png,E:\Programs\smarthome2\images\pdid30_zhuluyou.png,136843,dispimg_formula,1.0
31,副路由,ID_77D348A2C2D34DF790A99BD9AE412C64,image18.png,L32,pdid31_fuluyou.png,E:\Programs\smarthome2\images\pdid31_fuluyou.png,238932,dispimg_formula,1.0
32,副路由,ID_4355A99256544129B58BF0828ABBC5CD,image17.png,L33,pdid32_fuluyou.png,E:\Programs\smarthome2\images\pdid32_fuluyou.png,32273,dispimg_formula,1.0
33,主路由,ID_689391E5D1A24555A6E89EF9900D3AAD,image22.png,L34,pdid33_zhuluyou.png,E:\Programs\smarthome2\images\pdid33_zhuluyou.png,116133,dispimg_formula,1.0
34,副路由,ID_253561E665E94965ADE7AFEA6CBD5341,image21.png,L35,pdid34_fuluyou.png,E:\Programs\smarthome2\images\pdid34_fuluyou.png,86190,dispimg_formula,1.0
35,中枢网关,ID_D8488B18D5D341E2A91602FF1FAF44A9,image5.jpeg,L36,pdid35_zhongshuwangguan.png,E:\Programs\smarthome2\images\pdid35_zhongshuwangguan.png,25457,dispimg_formula,1.0
36,室内摄像头,ID_165225A72C6A443A9B253A3B8E11BA45,image1.png,L37,pdid36_shineishexiangtou.png,E:\Programs\smarthome2\images\pdid36_shineishexiangtou.png,323781,dispimg_formula,1.0
37,室外摄像头,ID_F1F80EB54F8543DCA2F3D2101087CD8E,image2.png,L38,pdid37_shiwaishexiangtou.png,E:\Programs\smarthome2\images\pdid37_shiwaishexiangtou.png,376002,dispimg_formula,1.0
38,室外摄像头,ID_AB95926D071E48DE91220AD754A3A004,image30.png,L39,pdid38_shiwaishexiangtou.png,E:\Programs\smarthome2\images\pdid38_shiwaishexiangtou.png,165896,dispimg_formula,1.0
39,录像机,ID_20CABED5DF164202A2478C1E8370E222,image31.png,L40,pdid39_luxiangji.png,E:\Programs\smarthome2\images\pdid39_luxiangji.png,132197,dispimg_formula,1.0
40,硬盘,ID_78C69518856C45CCB0214DB1D40272DD,image32.png,L41,pdid40_yingpan.png,E:\Programs\smarthome2\images\pdid40_yingpan.png,96949,dispimg_formula,1.0
41,空调VRF,ID_70536CDC9D9C4AFB922F8024A3365322,image3.png,L42,pdid41_kongdiaovrf.png,E:\Programs\smarthome2\images\pdid41_kongdiaovrf.png,244561,dispimg_formula,1.0
42,智能门锁,ID_6AB58B77FA094EFC82642B0699B56208,image4.png,L43,pdid42_zhinengmensuo.png,E:\Programs\smarthome2\images\pdid42_zhinengmensuo.png,249238,dispimg_formula,1.0
